artist,song,duration_ms,year,genre,danceability
Avril Lavigne,I'm with You,223066,2002,pop,0.457
Will Young,Leave Right Now,214733,2003,pop,0.641
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,2004,hip hop; pop; R&B,0.894
Maroon 5,This Love,206200,2002,pop,0.712
Britney Spears,Toxic,198800,2003,pop,0.774
Outkast,Hey Ya!,235213,2003,hip hop; pop,0.727
Hoobastank,The Reason,232800,2003,pop; rock; metal,0.472
Anastacia,Left Outside Alone,257426,2004,pop,0.663
Daddy Yankee,Gasolina,192600,2004,latin,0.857
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,2004,hip hop; pop,0.785
O-Zone,Dragostea Din Tei,215431,2004,pop,0.809
Terror Squad,Lean Back,247426,2004,hip hop,0.783
Anastacia,Sick and Tired,212266,1999,pop,0.598
Gwen Stefani,What You Waiting For?,221226,2004,pop; R&B,0.676
Ashanti,Only U - No Intro,186306,2004,hip hop; pop; R&B,0.601
The Rasmus,In the Shadows,257920,2003,metal,0.6
Houston,I Like That,236520,2004,hip hop; pop,0.797
BeyoncÃ©,Naughty Girl,208600,2003,pop; R&B,0.735
Linkin Park,Numb,185586,2003,rock; metal,0.496
Lloyd Banks,On Fire,187280,2004,hip hop; pop,0.759
Akon,Locked Up,235066,2004,pop,0.818
D12,My Band,298773,2004,hip hop; pop; rock,0.851
Jay Sean,Eyes On You - Radio Mix,190493,2004,hip hop; pop; R&B,0.802
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,pop,0.833
Destiny's Child,Lose My Breath,242013,2004,pop; R&B,0.814
Eric Prydz,Call on Me - Radio Mix,171360,2004,pop; Dance/Electronic,0.597
Ciara,Goodies (feat. Petey Pablo),223000,2004,pop; R&B,0.826
Kelis,Trick Me,206106,2003,pop; R&B; Dance/Electronic,0.97
LL Cool J,Headsprung,267320,2004,hip hop; pop; R&B,0.718
Spiderbait,Black Betty - Edit,205973,2004,rock,0.562
George Michael,Amazing,265826,2004,set(),0.805
Britney Spears,My Prerogative,213893,2004,pop,0.749
Nina Sky,Move Ya Body,232000,2004,pop; R&B,0.87
Baby Bash,Suga Suga,239026,2003,hip hop; pop; R&B; latin,0.662
Petey Pablo,Freek-A-Leek,235186,2003,hip hop; pop,0.737
JAY-Z,Dirt Off Your Shoulder,245173,2003,hip hop,0.779
Juanes,La Camisa Negra,216706,2004,pop; latin,0.751
Avril Lavigne,Nobody's Home,212413,2004,pop,0.348
Robbie Williams,Radio,233600,2004,pop; rock,0.607
Black Eyed Peas,Hey Mama,214893,2003,hip hop; pop,0.86
Ying Yang Twins,Salt Shaker,252440,2003,hip hop; pop,0.884
Enrique Iglesias,Not In Love - Radio Mix,223133,2003,pop; latin,0.762
Kelis,Milkshake,182626,2003,pop; R&B; Dance/Electronic,0.881
Linkin Park,Breaking the Habit,196906,2003,rock; metal,0.579
JoJo,Leave (Get Out) - Radio Edit,242746,2005,hip hop; pop; R&B,0.656
Christina Milian,Dip It Low,197186,2004,hip hop; pop; R&B,0.752
Avant,Read Your Mind,263506,2003,pop; R&B,0.755
Eminem,Just Lose It,248680,2004,hip hop,0.94
Sugababes,Too Lost In You,237693,2003,pop; R&B,0.586
Snoop Dogg,Drop It Like It's Hot,266066,2004,hip hop; pop,0.892
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,2002,hip hop; pop,0.765
The Shapeshifters,Lola's Theme - Radio Edit,207066,2004,Dance/Electronic,0.748
D12,How Come,249533,2004,hip hop; pop; rock,0.745
Basement Jaxx,Good Luck,282306,2003,pop; Dance/Electronic,0.571
Kevin Lyttle,Turn Me On,192106,2004,hip hop,0.677
Chingy,One Call Away,276800,2003,hip hop; pop; R&B,0.765
T.I.,Bring Em Out,216706,2004,hip hop; pop,0.759
DJ Casper,Cha Cha Slide - Hardino Mix,222146,2004,set(),0.853
Kylie Minogue,I Believe in You,200973,2004,pop; Dance/Electronic,0.548
Twista,Overnight Celebrity,233360,2004,hip hop; pop; R&B,0.828
N.E.R.D,She Wants To Move,213786,2004,hip hop,0.766
Britney Spears,Everytime,230306,2003,pop,0.398
U2,Vertigo,193520,2004,World/Traditional; rock,0.416
Franz Ferdinand,Take Me Out,237026,2004,rock,0.277
J-Kwon,Tipsy - Club Mix,247106,2001,hip hop; pop,0.925
G-Unit,Wanna Get To Know You,265026,2003,hip hop; pop,0.513
Lil' Flip,Sunshine (feat. Lea),225173,2004,hip hop; pop,0.814
Kanye West,Jesus Walks,193733,2004,hip hop,0.637
Evanescence,My Immortal,262533,2003,metal,0.19
Nelly,My Place,336506,2004,hip hop; pop; R&B,0.6
Lemar,If There's Any Justice,229080,2004,R&B,0.706
No Doubt,It's My Life,226053,2003,rock; pop,0.612
Avril Lavigne,Don't Tell Me,202013,2004,pop,0.523
Twista,Slow Jamz,316053,2004,hip hop; pop; R&B,0.559
Green Day,American Idiot,176346,2004,rock,0.38
Kelis,Millionaire,224933,2003,pop; R&B; Dance/Electronic,0.68
Scissor Sisters,Comfortably Numb,266040,2004,pop; rock; Dance/Electronic,0.803
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,pop; R&B,0.663
Kanye West,Through The Wire,221226,2004,hip hop,0.571
Special D.,Come With Me - Radio Edit,185133,2004,pop,0.739
Ludacris,Splash Waterfalls,290760,2003,hip hop; pop,0.734
Avril Lavigne,My Happy Ending,242413,2004,pop,0.414
Dido,White Flag,240040,2003,pop,0.512
Eamon,Fuck It (I Don't Want You Back),225106,2004,set(),0.828
BeyoncÃ©,"Me, Myself and I",301133,2003,pop; R&B,0.75
3 Doors Down,Here Without You,238733,2002,pop; rock; metal,0.557
Kanye West,All Falls Down,223506,2004,hip hop,0.657
Twista,Sunshine (feat. Anthony Hamilton),226013,2004,hip hop; pop; R&B,0.926
Katie Melua,The Closest Thing to Crazy,252466,2003,pop; easy listening; jazz,0.562
Usher,My Boo,223440,2004,hip hop; pop; R&B,0.662
Lloyd,Southside,277840,2004,hip hop; pop; R&B,0.688
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,Dance/Electronic,0.668
The Streets,Fit but You Know It,254266,2004,hip hop; Dance/Electronic,0.68
JUVENILE,Slow Motion,248200,2003,hip hop; pop,0.713
Outkast,The Way You Move (feat. Sleepy Brown),234000,2003,hip hop; pop,0.871
Girls Aloud,Love Machine,205360,2004,pop; Dance/Electronic,0.663
Jessica Simpson,With You,191826,2003,pop; R&B,0.553
Eminem,Like Toy Soldiers,296880,2004,hip hop,0.52
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,pop,0.345
Ashlee Simpson,Pieces Of Me,217440,2004,pop,0.505
Will Young,Leave Right Now,214733,2003,pop,0.641
Alicia Keys,You Don't Know My Name,366733,2003,pop; R&B,0.264
Mariah Carey,We Belong Together,201400,2005,pop; R&B,0.84
Mario,Let Me Love You,256733,2004,pop; R&B,0.656
Kanye West,Gold Digger,207626,2005,hip hop,0.629
Rihanna,Pon de Replay,246960,2005,hip hop; pop; R&B,0.779
50 Cent,Candy Shop,209106,2005,hip hop; pop,0.614
James Blunt,You're Beautiful,209493,2005,pop,0.675
Green Day,Boulevard of Broken Dreams,261266,2004,rock,0.49
The Pussycat Dolls,Don't Cha,272080,2005,pop; R&B,0.875
Daniel Powter,Bad Day,233640,2005,pop,0.599
Akon,Bananza (Belly Dancer),238493,2004,pop,0.878
Madonna,Hung Up,337733,2005,pop,0.649
50 Cent,Just A Lil Bit,237706,2005,hip hop; pop,0.489
Crazy Frog,Axel F,168879,2005,pop,0.86
Eminem,Ass Like That,265480,2004,hip hop,0.646
Sean Paul,We Be Burnin',213066,2005,hip hop; pop,0.95
Gwen Stefani,Rich Girl,236213,2004,pop; R&B,0.856
The Chemical Brothers,Galvanize,393813,2005,Dance/Electronic,0.745
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,2005,hip hop; pop; rock,0.688
50 Cent,Disco Inferno,214226,2005,hip hop; pop,0.925
The Game,How We Do,235533,2005,hip hop; pop,0.862
Chris Brown,Run It! (feat. Juelz Santana),229866,2005,hip hop; pop; R&B,0.846
Mariah Carey,It's Like That,203360,2005,pop; R&B,0.8
Black Eyed Peas,My Humps,326960,2005,hip hop; pop,0.802
Ciara,Oh (feat. Ludacris),256346,2004,pop; R&B,0.8
50 Cent,Outta Control - Remix,247506,2005,hip hop; pop,0.772
Baby Bash,"Baby, I'm Back",219920,2005,hip hop; pop; R&B; latin,0.899
Jennifer Lopez,Get Right,225533,2005,hip hop; pop; R&B,0.741
JAY-Z,Numb / Encore,205733,2004,hip hop,0.687
The Game,Hate It Or Love It,206400,2005,hip hop; pop,0.802
Gorillaz,Feel Good Inc.,222640,2005,hip hop,0.818
Black Eyed Peas,Don't Phunk With My Heart,239773,2005,hip hop; pop,0.69
Akon,Lonely,235800,2004,pop,0.629
Bodyrockers,I Like The Way - Radio Edit,200053,2005,rock; Dance/Electronic,0.642
Sugababes,Push The Button,218093,2005,pop; R&B,0.962
Jeezy,Soul Survivor,280013,2005,hip hop; pop,0.684
Eminem,Mockingbird,250760,2004,hip hop,0.637
Shakira,La Tortura (feat. Alejandro Sanz),212893,2005,pop; latin,0.74
Gorillaz,DARE,244999,2005,hip hop,0.76
Snoop Dogg,Signs,236813,2004,hip hop; pop,0.94
Robbie Williams,Tripping,276603,2005,pop; rock,0.666
David Banner,Play,230133,2005,hip hop; pop,0.837
Trillville,Some Cut,283454,2004,hip hop; pop,0.9
D4L,Laffy Taffy,224253,2005,hip hop; pop,0.891
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,2005,hip hop; pop; R&B,0.904
Rob Thomas,Lonely No More,226640,2005,pop; Folk/Acoustic,0.551
Brian McFadden,Almost Here,229826,2004,set(),0.561
Bobby V.,"Slow Down - 12"" Version",258666,2005,hip hop; pop; R&B,0.568
Backstreet Boys,Incomplete,239586,2005,pop,0.437
Pretty Ricky,Grind With Me,237733,2005,hip hop; pop; R&B,0.7
Kanye West,Diamonds From Sierra Leone - Remix,233400,2005,hip hop,0.672
Snoop Dogg,Drop It Like It's Hot,266066,2004,hip hop; pop,0.892
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,2005,hip hop; pop,0.905
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,2004,pop; R&B,0.878
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,2005,pop; R&B,0.939
Amerie,1 Thing,238746,2008,hip hop; pop; R&B,0.636
Ludacris,Get Back,270746,2004,hip hop; pop,0.555
Franz Ferdinand,Do You Want To,215000,2005,rock,0.412
Natalie Imbruglia,Shiver,222653,2005,pop; Folk/Acoustic,0.489
Gwen Stefani,Hollaback Girl,199853,2004,pop; R&B,0.926
Pretty Ricky,Your Body,240040,2005,hip hop; pop; R&B,0.838
Thirty Seconds To Mars,The Kill,231533,2005,rock,0.179
Alicia Keys,Karma,256000,2003,pop; R&B,0.727
2Pac,Ghetto Gospel,238053,2004,hip hop,0.794
Craig David,Don't Love You No More (I'm Sorry),243986,2005,hip hop; pop; R&B,0.636
Katie Melua,Nine Million Bicycles,197160,2005,pop; easy listening; jazz,0.534
Lil Jon & The East Side Boyz,Lovers And Friends,260600,2004,hip hop; pop,0.675
Mariah Carey,Don't Forget About Us - Radio Edit,233866,2005,pop; R&B,0.7
Ying Yang Twins,Wait (The Whisper Song),179160,2005,hip hop; pop,0.933
Will Smith,Switch,197666,2020,hip hop; pop,0.873
Bow Wow,Like You (feat. Ciara),205840,2005,hip hop; pop; R&B,0.714
Kaiser Chiefs,Everyday I Love You Less And Less,217706,2005,rock,0.49
Kelly Clarkson,Behind These Hazel Eyes,198973,2004,pop; R&B,0.548
Black Eyed Peas,Don't Lie,219000,2005,hip hop; pop,0.662
Westlife,You Raise Me Up,241066,2005,pop,0.129
Ray J,One Wish,337640,2005,hip hop; pop; R&B,0.525
Papa Roach,Scars,208199,2004,rock; metal,0.455
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,2006,rock,0.535
Shayne Ward,That's My Goal,219600,2006,pop,0.286
Bow Wow,Let Me Hold You (feat. Omarion),248493,2005,hip hop; pop; R&B,0.815
Kaiser Chiefs,I Predict A Riot,233186,2005,rock,0.395
Usher,Caught Up,224640,2004,hip hop; pop; R&B,0.817
Kelly Clarkson,Because of You,219493,2004,pop; R&B,0.587
3 Doors Down,Let Me Go,243053,2012,pop; rock; metal,0.478
Nickelback,Photograph,258920,2005,rock; metal,0.515
T-Pain,I'm Sprung,231040,2005,hip hop; pop; R&B,0.722
Destiny's Child,Cater 2 U,245400,2004,pop; R&B,0.605
The Pussycat Dolls,Stickwitu,207506,2005,pop; R&B,0.548
Ryan Cabrera,TRUE,204173,2004,pop,0.598
Stereophonics,Dakota,297426,2005,rock; pop,0.506
Eminem,Like Toy Soldiers,296880,2004,hip hop,0.52
Nelly,Over And Over,253933,2004,hip hop; pop; R&B,0.644
Coldplay,Speed of Sound,287906,2005,rock; pop,0.514
KT Tunstall,Suddenly I See,201706,2005,World/Traditional; pop; Folk/Acoustic,0.587
Destiny's Child,Girl,224146,2004,pop; R&B,0.567
Kelly Clarkson,Since U Been Gone,188960,2004,pop; R&B,0.662
U2,Sometimes You Can't Make It On Your Own,305080,2004,World/Traditional; rock,0.53
The All-American Rejects,Dirty Little Secret,193653,2005,rock; pop,0.469
Toby Keith,As Good As I Once Was,227840,2005,country,0.68
Gwen Stefani,Cool,189333,2004,pop; R&B,0.709
Foo Fighters,Best of You,255626,2005,rock; metal,0.366
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,2005,pop; latin,0.778
Sean Paul,Temperature,218573,2005,hip hop; pop,0.951
Justin Timberlake,SexyBack (feat. Timbaland),242733,2006,pop,0.967
BeyoncÃ©,Irreplaceable,227853,2007,pop; R&B,0.447
Amy Winehouse,Rehab,214946,2006,R&B,0.407
Rihanna,SOS,238920,2006,hip hop; pop; R&B,0.677
Gnarls Barkley,Crazy,177466,2006,hip hop; R&B,0.855
Busta Rhymes,Touch It,214960,2006,hip hop; pop,0.658
Nelly Furtado,Maneater,258893,2006,hip hop; pop; latin,0.796
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,2006,pop; Dance/Electronic,0.893
Diddy,Come to Me (feat. Nicole Scherzinger),276786,2006,hip hop; pop,0.819
Madonna,Sorry,281880,2005,pop,0.589
Chamillionaire,Ridin',303053,2005,hip hop; pop,0.787
Black Eyed Peas,Pump It,213066,2005,hip hop; pop,0.648
Nelly Furtado,Promiscuous,242293,2006,hip hop; pop; latin,0.808
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,2015,pop; Dance/Electronic,0.814
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,2006,hip hop; pop,0.711
The Pussycat Dolls,Buttons,225560,2005,pop; R&B,0.565
Ciara,Get Up (feat. Chamillionaire),261880,2006,pop; R&B,0.964
Eminem,Shake That,274440,2005,hip hop,0.963
Cherish,Do It To It,226293,2006,hip hop; pop; R&B,0.826
Muse,Supermassive Black Hole,212439,2006,rock,0.668
Chris Brown,Gimme That,186826,2005,hip hop; pop; R&B,0.678
Infernal,From Paris to Berlin,209666,2004,pop,0.741
Cassie,Me & U,192213,2006,pop; R&B,0.803
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,2006,hip hop; pop,0.858
The Pussycat Dolls,Beep,229360,2005,pop; R&B,0.938
Lil Jon,Snap Yo Fingers,274386,2006,hip hop; pop,0.835
Armand Van Helden,My My My - Radio Edit,190000,2006,pop; Dance/Electronic,0.678
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",286186,2005,hip hop,0.833
Yung Joc,It's Goin' Down (feat. Nitti),241840,2006,hip hop; pop,0.888
Shayne Ward,No Promises,223066,2006,pop,0.5
Justin Timberlake,My Love (feat. T.I.),276160,2006,pop,0.771
Nickelback,Savin' Me,219320,2005,rock; metal,0.441
Nelly,Grillz,271160,2005,hip hop; pop; R&B,0.867
Take That,Patience,202066,2006,pop,0.309
Fergie,London Bridge,241306,2006,pop; R&B,0.769
Cascada,Everytime We Touch - Radio Edit,199120,2011,hip hop; pop; Dance/Electronic,0.64
D4L,Laffy Taffy,224253,2005,hip hop; pop,0.891
LL Cool J,Control Myself,233973,2006,hip hop; pop; R&B,0.825
BeyoncÃ©,Deja Vu (feat. Jay-Z),240280,2007,pop; R&B,0.644
P!nk,Stupid Girls,197173,2006,pop,0.683
Eminem,When I'm Gone,281320,2005,hip hop,0.618
Kelis,Bossy,273973,2006,pop; R&B; Dance/Electronic,0.906
Bob Sinclar,Love Generation - Radio Edit,207613,2005,pop; Dance/Electronic,0.715
Meck,Thunder in My Heart Again (Radio Edit),189800,2005,set(),0.679
Mary J. Blige,Be Without You - Kendu Mix,246333,2005,pop; R&B,0.726
Girls Aloud,Something Kinda Ooooh,201590,2012,pop; Dance/Electronic,0.681
Rihanna,Unfaithful,226973,2006,hip hop; pop; R&B,0.588
Kanye West,Touch The Sky,236600,2005,hip hop,0.552
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",229813,2006,hip hop; pop,0.886
Evanescence,Call Me When You're Sober,214706,2006,metal,0.45
Chingy,Pullin' Me Back,234133,2006,hip hop; pop; R&B,0.786
Nickelback,Far Away,238173,2005,rock; metal,0.518
Fall Out Boy,"Dance, Dance",180266,2005,rock,0.622
Leona Lewis,A Moment Like This,257293,2007,pop; R&B,0.261
T.I.,What You Know,274333,2006,hip hop; pop,0.551
Ludacris,Money Maker,230613,2006,hip hop; pop,0.551
Nick Lachey,What's Left Of Me,244613,2006,pop,0.42
Jibbs,Chain Hang Low,207586,2006,hip hop; pop,0.792
Arctic Monkeys,When The Sun Goes Down,202133,2006,rock,0.348
Rascal Flatts,Life is a Highway,276773,2006,country,0.561
BeyoncÃ©,Check On It (feat. Slim Thug),211186,2006,pop; R&B,0.7
Keyshia Cole,Love,255333,2005,hip hop; pop; R&B,0.688
Lily Allen,Smile,196893,2006,pop,0.632
Ne-Yo,Sexy Love,220853,2006,pop; R&B,0.693
JoJo,Too Little Too Late,223680,2006,hip hop; pop; R&B,0.535
Mary J. Blige,One,260466,2005,pop; R&B,0.344
Bubba Sparxxx,Ms. New Booty,252653,2005,hip hop; pop; country,0.64
Amy Winehouse,You Know I'm No Good,256946,2006,R&B,0.705
Rascal Flatts,What Hurts The Most,214106,2006,country,0.537
Red Hot Chili Peppers,Dani California,282160,2006,rock,0.556
Scissor Sisters,I Don't Feel Like Dancin',288360,2006,pop; rock; Dance/Electronic,0.707
Ne-Yo,So Sick,207186,2006,pop; R&B,0.452
Hinder,Lips Of An Angel,261053,2019,pop; rock; metal,0.474
The Raconteurs,"Steady, As She Goes",215266,2006,rock,0.525
The Fratellis,Chelsea Dagger,215306,2006,rock,0.511
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866,2005,hip hop; pop; rock,0.684
The Pussycat Dolls,Stickwitu,207506,2005,pop; R&B,0.548
Panic! At The Disco,I Write Sins Not Tragedies,185586,2005,rock,0.566
James Blunt,Goodbye My Lover,258653,2005,pop,0.432
Christina Aguilera,Ain't No Other Man,228906,2006,pop,0.862
Westlife,The Rose,219106,2006,pop,0.272
Keane,Is It Any Wonder?,186173,2006,pop,0.489
Orson,No Tomorrow,167493,2006,pop,0.656
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),265333,2005,hip hop; pop; R&B,0.731
KT Tunstall,Black Horse And The Cherry Tree,172373,2005,World/Traditional; pop; Folk/Acoustic,0.748
Natasha Bedingfield,Unwritten,259333,2004,pop,0.706
Razorlight,America,249760,2006,rock; pop,0.447
James Morrison,You Give Me Something,213173,2006,pop; R&B,0.559
Snow Patrol,You're All I Have,273333,2006,World/Traditional; rock; pop,0.467
The Fray,How to Save a Life,262533,2005,pop,0.64
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151640,2006,World/Traditional; pop,0.7
My Chemical Romance,Welcome to the Black Parade,311106,2006,rock,0.217
Razorlight,In The Morning,222453,2006,rock; pop,0.616
The All-American Rejects,Dirty Little Secret,193653,2005,rock; pop,0.469
James Morrison,Wonderful World,210066,2006,pop; R&B,0.474
Chris Brown,Yo (Excuse Me Miss),229040,2005,hip hop; pop; R&B,0.536
P!nk,Who Knew,208493,2006,pop,0.688
The Kooks,Naive,203506,2006,rock,0.391
Leona Lewis,Bleeding Love,262466,2007,pop; R&B,0.638
Rihanna,Umbrella,275986,2008,hip hop; pop; R&B,0.583
Britney Spears,Gimme More,251240,2007,pop,0.788
Fergie,Big Girls Don't Cry (Personal),268120,2006,pop; R&B,0.708
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413,2007,pop,0.698
Plain White T's,Hey There Delilah,232533,2005,pop,0.656
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448573,2006,pop,0.687
Gwen Stefani,The Sweet Escape,246466,2006,pop; R&B,0.756
Timbaland,The Way I Are,179120,2007,hip hop; pop; R&B,0.731
Nelly Furtado,Say It Right,223080,2006,hip hop; pop; latin,0.872
Ida Corr,Let Me Think About It,151973,2012,set(),0.762
Alex Gaudino,Destination Calabria - Radio Edit,223111,2007,Dance/Electronic,0.627
September,Cry for You,209800,2007,pop; Dance/Electronic,0.767
Akon,Smack That,212360,2006,pop,0.94
Timbaland,Give It To Me,234026,2007,hip hop; pop; R&B,0.975
50 Cent,Ayo Technology,247946,2007,hip hop; pop,0.63
Eric Prydz,Proper Education - Radio Edit,198567,2007,pop; Dance/Electronic,0.537
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,150533,2015,pop; Dance/Electronic,0.827
Ciara,Like a Boy,237053,2006,pop; R&B,0.701
Kanye West,Stronger,311866,2007,hip hop,0.617
BeyoncÃ©,Beautiful Liar,199853,2007,pop; R&B,0.764
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237173,2007,hip hop; pop,0.584
Akon,I Wanna Love You,247066,2006,pop,0.865
Soulja Boy,Crank That (Soulja Boy),221933,2007,hip hop; pop,0.736
Fat Joe,Make It Rain,247413,2006,hip hop; pop,0.744
P!nk,U + Ur Hand,214386,2006,pop,0.709
Rihanna,Shut Up And Drive,212280,2008,hip hop; pop; R&B,0.735
Lloyd,Get It Shawty,209533,2007,hip hop; pop; R&B,0.822
Kanye West,Can't Tell Me Nothing,271600,2007,hip hop,0.596
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152333,2006,set(),0.847
Linkin Park,What I've Done,205613,2007,rock; metal,0.623
Keyshia Cole,Last Night,255706,2007,hip hop; pop; R&B,0.918
Chris Brown,Kiss Kiss (feat. T-Pain),250666,2007,hip hop; pop; R&B,0.729
Shop Boyz,Party Like A Rock Star,253400,2007,hip hop; pop,0.619
Finger Eleven,Paralyzer,208106,2007,rock; metal,0.644
Justin Timberlake,Summer Love,252973,2006,pop,0.606
MiMS,This Is Why I'm Hot,253706,2007,hip hop; pop,0.621
Fabolous,Make Me Better,253573,2007,hip hop; pop; R&B,0.607
Seether,Fake It,193893,2007,rock; metal,0.611
Take That,Patience,202066,2006,pop,0.309
Arctic Monkeys,Brianstorm,172866,2007,rock,0.42
Justin Timberlake,My Love (feat. T.I.),276160,2006,pop,0.771
Fergie,Glamorous,246600,2006,pop; R&B,0.811
Linkin Park,Bleed It Out,166373,2007,rock; metal,0.529
My Chemical Romance,Teenagers,161920,2006,rock,0.463
Calvin Harris,Acceptable in the 80's,333680,2007,hip hop; pop; Dance/Electronic,0.787
Sugababes,About You Now,212400,2007,pop; R&B,0.584
Avril Lavigne,Girlfriend,216600,2007,pop,0.56
Ne-Yo,Because Of You,266840,2007,pop; R&B,0.81
Daughtry,It's Not Over,215173,2016,pop; rock; metal,0.45
Unk,Walk It Out,173040,2013,hip hop; pop,0.794
Lloyd,You,273133,2007,hip hop; pop; R&B,0.412
Klaxons,Golden Skans,165120,2007,rock,0.463
T-Pain,Bartender (feat. Akon),238800,2007,hip hop; pop; R&B,0.675
Baby Boy Da Prince,The Way I Live - Main Explicit,324906,2006,hip hop; pop,0.88
Fergie,Fergalicious,292373,2006,pop; R&B,0.906
Omarion,Ice Box,256426,2006,hip hop; pop; R&B,0.775
Pretty Ricky,On the Hotline - Amended Version,242586,2007,hip hop; pop; R&B,0.704
Nickelback,Rockstar,252040,2005,rock; metal,0.616
Fall Out Boy,Thnks fr th Mmrs,203506,2007,rock,0.459
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444333,2006,pop,0.859
All Time Low,"Dear Maria, Count Me In",182826,2007,rock,0.459
Amy Winehouse,Back To Black,241293,2006,R&B,0.403
Keyshia Cole,Let It Go,238360,2007,hip hop; pop; R&B,0.808
Ciara,Promise,267413,2006,pop; R&B,0.697
Enrique Iglesias,Do You Know? (The Ping Pong Song),219533,2007,pop; latin,0.753
T2,Heartbroken - Edit,178613,2017,Dance/Electronic,0.716
Robyn,With Every Heartbeat,254920,2005,pop; Dance/Electronic,0.477
Maroon 5,Makes Me Wonder,211080,2007,pop,0.803
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212040,2007,rock,0.435
Paramore,Misery Business,211520,2007,pop; rock,0.517
Hinder,Better Than Me,223533,2019,pop; rock; metal,0.451
Huey,"Pop, Lock & Drop It - Video Edit",261026,2006,hip hop; pop,0.723
Foo Fighters,The Pretender,269373,2007,rock; metal,0.433
Plies,Shawty (feat. T Pain),255413,2007,hip hop; pop; R&B,0.444
Kaiser Chiefs,Ruby,204200,2007,rock,0.451
Mark Ronson,Stop Me (feat. Daniel Merriweather),232946,2007,pop,0.626
Bow Wow,Outta My System (feat. T-Pain & JohntÃ¡ Austin),238266,2006,hip hop; pop; R&B,0.772
Jim Jones,We Fly High,236080,2006,hip hop; pop,0.685
The Red Jumpsuit Apparatus,Face Down,192000,2006,pop,0.545
MIKA,Grace Kelly,187733,2006,pop,0.675
Christina Aguilera,Candyman,194213,2006,pop,0.686
Sean Kingston,Beautiful Girls,225373,2007,hip hop; pop; R&B,0.762
Akon,Don't Matter,293066,2006,pop,0.801
James Blunt,1973,280026,2007,pop,0.72
Carrie Underwood,Before He Cheats,199946,2005,pop; country,0.519
Just Jack,Starz In Their Eyes,295933,2006,Dance/Electronic,0.67
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227960,2007,hip hop; pop; R&B,0.451
Bone Thugs-N-Harmony,I Tried,287480,2007,hip hop; pop,0.727
Avril Lavigne,When You're Gone,240493,2007,pop,0.457
Rich Boy,Throw Some D's,263920,2007,hip hop; pop,0.697
MIKA,Love Today,235173,2006,pop,0.673
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),235693,2007,rock; pop,0.344
Elliott Yamin,Wait for You,261320,2007,set(),0.764
Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",241133,2007,set(),0.733
Boys Like Girls,The Great Escape,206520,2007,pop,0.423
Take That,Rule The World - Radio Edit,237760,2007,pop,0.357
J. Holiday,Bed,275106,2007,hip hop; pop; R&B; Dance/Electronic,0.684
Red Hot Chili Peppers,Snow (Hey Oh),334666,2006,rock,0.427
Ludacris,Runaway Love,280680,2006,hip hop; pop,0.405
Flo Rida,Low (feat. T-Pain),231400,2008,hip hop; pop,0.918
Katy Perry,I Kissed A Girl,179640,2008,pop,0.699
Rihanna,Take A Bow,229413,2008,hip hop; pop; R&B,0.697
Alicia Keys,No One,253813,2007,pop; R&B,0.644
Timbaland,Apologize,184400,2007,hip hop; pop; R&B,0.653
Ne-Yo,Miss Independent,232000,2008,pop; R&B,0.668
